code,building,floor,department,kind,name_th,name_en,landmark_th,landmark_en,icon,qr,map_x,map_y
B2-FIRE,B,2,,stairs,บันไดหนีไฟ B,Fire stairs B,,,🪜,0,702,460
B2-BRC,B,2,,bridge,ทางเชื่อม B→C,Bridge B→C,,,🌉,1,880,400
B1-LIFT,B,1,,elevator,ลิฟต์ B,Lift B,,,🛗,0,650,340
B1-J1,B,1,,junction,,,หน้าลิฟต์ B ชั้น 1,Lift B lobby 1F,,1,650,400
B1-XR,B,1,B1-XR,xray,ห้องเอกซเรย์,X-ray,สุดทางเดิน,End of corridor,📷,1,800,400
B3-LIFT,B,3,,elevator,ลิฟต์ B,Lift B,,,🛗,0,650,340
B3-STAIR,B,3,,stairs,บันได B,Stairs B,,,🪜,0,600,455
B3-J1,B,3,,junction,,,หน้าลิฟต์ B ชั้น 3,Lift B lobby 3F,,1,650,400
B3-LAB,B,3,B3-LAB,lab,ห้องเจาะเลือด,Blood test,ขวามือ ข้างตู้น้ำดื่ม,On the right next to water dispenser,🩸,1,780,400
B3-WAIT,B,3,B3-LAB,waiting_area,จุดพักคอยรอผล,Lab waiting area,หน้าห้องเจาะเลือด,In front of blood test room,🪑,1,780,462
B3-WC,B,3,,toilet,ห้องน้ำชั้น 3,Toilet 3F,,,🚻,0,832,455
C2-BR,C,2,,bridge,ทางเชื่อม C (ฝั่ง B),Bridge C (B side),,,🌉,1,1000,400
C2-J1,C,2,,junction,,,โถงลิฟต์ C,Lift C lobby,,1,1080,400
C2-LIFT,C,2,,elevator,ลิฟต์ C,Lift C,,,🛗,0,1080,340
C2-RAMP,C,2,,ramp,ทางลาด C,Ramp C,,,♿,0,1080,460
C3-LIFT,C,3,,elevator,ลิฟต์ C,Lift C,,,🛗,0,1080,340
C3-RAMP,C,3,,ramp,ทางลาด C,Ramp C,,,♿,0,1080,460
C3-J1,C,3,,junction,,,หน้าลิฟต์ C ชั้น 3,Lift C lobby 3F,,1,1080,400
C3-BRB,C,3,,bridge,ทางเชื่อม C→B ชั้น 3,Bridge C→B 3F,,,🌉,1,1000,400
B3-BRC,B,3,,bridge,ทางเชื่อม B (ฝั่ง C) ชั้น 3,Bridge B (C side) 3F,,,🌉,1,880,400
C4-LIFT,C,4,,elevator,ลิฟต์ C,Lift C,,,🛗,0,1080,340
C4-J1,C,4,,junction,,,หน้าลิฟต์ C ชั้น 4,Lift C lobby 4F,,1,1080,400
C4-MED-CTR,C,4,C4-MED,counter,ยื่นบัตรอายุรกรรม,Med. clinic counter,ประตูทางเข้าคลินิก ป้ายสีเขียว,Clinic entrance green sign,🪪,1,1180,400
C4-MED-WAIT,C,4,C4-MED,waiting_area,ที่นั่งรออายุรกรรม,Waiting area,,,🪑,1,1242,400
C4-MED-401,C,4,C4-MED,exam_room,ห้องตรวจ 401,Room 401,ห้องแรกซ้ายมือ,First room on the left,👨‍⚕️,0,1242,338
C4-MED-403,C,4,C4-MED,exam_room,ห้องตรวจ 403,Room 403,ห้องที่ 3 ซ้ายมือ,Third room on the left,👨‍⚕️,0,1302,338
C4-WC,C,4,,toilet,ห้องน้ำชั้น 4,Toilet 4F,,,🚻,0,1180,460
